Dr. Amarpreet Singh Riar,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302,https://goo.gl/maps/nbpLHeuKoygYDhNq7,Eat Yoghurt and Probiotics
Dr. (Maj.)Sharad Shrivastava,https://www.practo.com/delhi/doctor/dr-54-general-physician-1?specialization=General%20Physician&practice_id=1071396,https://goo.gl/maps/unXNVUFpn2jy7phr5,Eat Saline nasal irrigation
Dr. Anirban Biswas,https://www.practo.com/delhi/doctor/anirban-biswas-diabetologist?specialization=General%20Physician&practice_id=789800,https://goo.gl/maps/Bf3vmGNdGq8EcBky5,Drink Ginger tea
Dr. Aman Vij,https://www.practo.com/delhi/doctor/dr-aman-vij-general-physician?specialization=General%20Physician&practice_id=704972,https://goo.gl/maps/eess29YpcLezm1kJA,Eat Guar gum
Dr. Mansi Arya,https://www.practo.com/delhi/doctor/dr-mansi-arya-bhardwaj-homeopath?specialization=Homoeopath&practice_id=786334,https://goo.gl/maps/dZJ4jGTeCPqHSVdN7,Use Aloe vera
Dr. Sunil Kumar Dwivedi,https://www.practo.com/delhi/doctor/dr-sunil-kumar-dwivedi-homeopath?specialization=Homoeopath&practice_id=654411,https://goo.gl/maps/7hi1rP6vFis2n4oi8,Drink Honey
Dr. Chhavi Bansal,https://www.practo.com/delhi/doctor/dr-chhavi-bansal-homeopath-1?specialization=Homoeopath&practice_id=1124019,https://goo.gl/maps/EV1N4NRFAiPhhgeM8,Eat Cardomom
Dr. Sneh Khera,https://www.practo.com/delhi/doctor/dr-sneh-khera-homeopath?specialization=Homoeopath&practice_id=709153,https://goo.gl/maps/gP7GbuhvWpCpUqYb8,Drink Apple cider
Dr. Inderjeet Singh Parmar,https://www.practo.com/noida/doctor/inderjit-singh-parmar-dermatologist?practice_id=1263288&specialization=Dr.%20Inderjeet%20Singh&referrer=doctor_listing,https://goo.gl/maps/WBiWyML7fnHUYPLH8,Drink Apple cider vineger
Dr. Suman Mohan,https://www.practo.com/delhi/doctor/dr-suman-mohan-homoeopath?specialization=Homoeopath&practice_id=1173704,https://goo.gl/maps/qrn6AU9dK5iKqpFq8,Practice Breating exercises
Dr. Manish Munjal,https://www.practo.com/delhi/doctor/dr-manish-munjal-ear-nose-throat-ent-specialist-1?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=1045243,https://goo.gl/maps/K5pvHkKSPMWwrMB87,Drink Skim milk
